"","1st_network","Region","cluster","Hub_consensus","freq"
"391","VMM","Fusiform_L_3","23","Connector",0.33333
"392","VMM","Fusiform_L_3","23","Isolate",1e-05
"393","VMM","Fusiform_L_3","23","Peripheral",0.166665
"394","VMM","Fusiform_L_3","23","Provincial",0.33333
"395","VMM","Fusiform_L_3","23","Satellite",0.166665
"396","VMM","Fusiform_L_3","56","Connector",0.166665
"397","VMM","Fusiform_L_3","56","Isolate",1e-05
"398","VMM","Fusiform_L_3","56","Peripheral",0.166665
"399","VMM","Fusiform_L_3","56","Provincial",0.33333
"400","VMM","Fusiform_L_3","56","Satellite",0.33333
"401","VMM","Fusiform_R_3","23","Connector",0.181812727272727
"402","VMM","Fusiform_R_3","23","Isolate",1e-05
"403","VMM","Fusiform_R_3","23","Peripheral",1e-05
"404","VMM","Fusiform_R_3","23","Provincial",1e-05
"405","VMM","Fusiform_R_3","23","Satellite",0.818157272727273
"406","VMM","Fusiform_R_3","56","Connector",0.692286923076923
"407","VMM","Fusiform_R_3","56","Isolate",1e-05
"408","VMM","Fusiform_R_3","56","Peripheral",1e-05
"409","VMM","Fusiform_R_3","56","Provincial",1e-05
"410","VMM","Fusiform_R_3","56","Satellite",0.307683076923077
"411","DMN","Insula_L_1","23","Connector",0.44444
"412","DMN","Insula_L_1","23","Isolate",1e-05
